status_id,user_id,screen_name,text,source,is_quote,is_retweet,favorite_count,retweet_count,symbols,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,lang,geo_coords,coords_coords,bbox_coords,created_at
908689530982723585,898537668115546112,CryptoWatson,"1hr Report : 09:50:40 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $QTUM, $XVG, $MUE https://t.co/cKC3bdSqXu",Crypto Watson (Beta),FALSE,FALSE,1,2,BTC|ETH|LTC|OMG|NEO|ETC|BTS|QTUM|XVG|MUE,http://pbs.twimg.com/media/DJxQT84WsAAr2Ou.jpg,https://t.co/cKC3bdSqXu,https://twitter.com/CryptoWatson/status/908689530982723585/photo/1,photo,http://pbs.twimg.com/media/DJxQT84WsAAr2Ou.jpg,https://t.co/cKC3bdSqXu,https://twitter.com/CryptoWatson/status/908689530982723585/photo/1,en,|,|,|||||||,2017-09-15T13:50:41Z
908676996359737345,898537668115546112,CryptoWatson,"1hr Report : 09:00:52 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $XVG, $QTUM, $DASH https://t.co/H5IhCCdv8g",Crypto Watson (Beta),FALSE,FALSE,2,1,BTC|ETH|LTC|OMG|NEO|ETC|BTS|XVG|QTUM|DASH,http://pbs.twimg.com/media/DJxE6WmWsAAe2Qx.jpg,https://t.co/H5IhCCdv8g,https://twitter.com/CryptoWatson/status/908676996359737345/photo/1,photo,http://pbs.twimg.com/media/DJxE6WmWsAAe2Qx.jpg,https://t.co/H5IhCCdv8g,https://twitter.com/CryptoWatson/status/908676996359737345/photo/1,in,|,|,|||||||,2017-09-15T13:00:52Z
908674381060206594,898537668115546112,CryptoWatson,"1hr Report : 08:50:28 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $QTUM, $XVG, $DASH https://t.co/omuUQMGMu1",Crypto Watson (Beta),FALSE,FALSE,0,1,BTC|ETH|LTC|OMG|NEO|ETC|BTS|QTUM|XVG|DASH,http://pbs.twimg.com/media/DJxCiGlX0AEC_2J.jpg,https://t.co/omuUQMGMu1,https://twitter.com/CryptoWatson/status/908674381060206594/photo/1,photo,http://pbs.twimg.com/media/DJxCiGlX0AEC_2J.jpg,https://t.co/omuUQMGMu1,https://twitter.com/CryptoWatson/status/908674381060206594/photo/1,in,|,|,|||||||,2017-09-15T12:50:29Z
908661879576375297,898537668115546112,CryptoWatson,"1hr Report : 08:00:48 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $QTUM, $XVG, $DASH https://t.co/ptQOWCkSUe",Crypto Watson (Beta),FALSE,FALSE,0,1,BTC|ETH|LTC|OMG|NEO|ETC|BTS|QTUM|XVG|DASH,http://pbs.twimg.com/media/DJw3KbnWkAAhShX.jpg,https://t.co/ptQOWCkSUe,https://twitter.com/CryptoWatson/status/908661879576375297/photo/1,photo,http://pbs.twimg.com/media/DJw3KbnWkAAhShX.jpg,https://t.co/ptQOWCkSUe,https://twitter.com/CryptoWatson/status/908661879576375297/photo/1,in,|,|,|||||||,2017-09-15T12:00:48Z
908659277908332544,898537668115546112,CryptoWatson,"1hr Report : 07:50:27 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $QTUM, $XVG, $DASH https://t.co/DSF9sPiUOg",Crypto Watson (Beta),FALSE,FALSE,0,1,BTC|ETH|LTC|OMG|NEO|ETC|BTS|QTUM|XVG|DASH,http://pbs.twimg.com/media/DJw0y8DXcAA1XGO.jpg,https://t.co/DSF9sPiUOg,https://twitter.com/CryptoWatson/status/908659277908332544/photo/1,photo,http://pbs.twimg.com/media/DJw0y8DXcAA1XGO.jpg,https://t.co/DSF9sPiUOg,https://twitter.com/CryptoWatson/status/908659277908332544/photo/1,in,|,|,|||||||,2017-09-15T11:50:28Z
908646748033298434,898537668115546112,CryptoWatson,"1hr Report : 07:00:40 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $OMG, $NEO, $ETC, $BTS, $QTUM, $XVG, $DASH https://t.co/VRnZJtqJTQ",Crypto Watson (Beta),FALSE,FALSE,2,2,BTC|ETH|LTC|OMG|NEO|ETC|BTS|QTUM|XVG|DASH,http://pbs.twimg.com/media/DJwpZpUWkAEJGWt.jpg,https://t.co/VRnZJtqJTQ,https://twitter.com/CryptoWatson/status/908646748033298434/photo/1,photo,http://pbs.twimg.com/media/DJwpZpUWkAEJGWt.jpg,https://t.co/VRnZJtqJTQ,https://twitter.com/CryptoWatson/status/908646748033298434/photo/1,in,|,|,|||||||,2017-09-15T11:00:41Z
908644161812930560,898537668115546112,CryptoWatson,"1hr Report : 06:50:23 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $NEO, $ETC, $BTS, $OMG, $QTUM, $XVG, $DASH https://t.co/zHVU5Loe2x",Crypto Watson (Beta),FALSE,FALSE,2,1,BTC|ETH|LTC|NEO|ETC|BTS|OMG|QTUM|XVG|DASH,http://pbs.twimg.com/media/DJwnDHwXcAEpsrG.jpg,https://t.co/zHVU5Loe2x,https://twitter.com/CryptoWatson/status/908644161812930560/photo/1,photo,http://pbs.twimg.com/media/DJwnDHwXcAEpsrG.jpg,https://t.co/zHVU5Loe2x,https://twitter.com/CryptoWatson/status/908644161812930560/photo/1,en,|,|,|||||||,2017-09-15T10:50:24Z
908631631665225729,898537668115546112,CryptoWatson,"1hr Report : 06:00:36 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $NEO, $ETC, $BTS, $QTUM, $OMG, $XVG, $PTOY https://t.co/HC9iiOJb6T",Crypto Watson (Beta),FALSE,FALSE,1,1,BTC|ETH|LTC|NEO|ETC|BTS|QTUM|OMG|XVG|PTOY,http://pbs.twimg.com/media/DJwbpzVWsAEb5WU.jpg,https://t.co/HC9iiOJb6T,https://twitter.com/CryptoWatson/status/908631631665225729/photo/1,photo,http://pbs.twimg.com/media/DJwbpzVWsAEb5WU.jpg,https://t.co/HC9iiOJb6T,https://twitter.com/CryptoWatson/status/908631631665225729/photo/1,in,|,|,|||||||,2017-09-15T10:00:37Z
908629055238492165,898537668115546112,CryptoWatson,"1hr Report : 05:50:22 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $NEO, $ETC, $BTS, $QTUM, $OMG, $XVG, $PTOY https://t.co/N4kOHvgsgd",Crypto Watson (Beta),FALSE,FALSE,0,1,BTC|ETH|LTC|NEO|ETC|BTS|QTUM|OMG|XVG|PTOY,http://pbs.twimg.com/media/DJwZTyCWsAEzh8j.jpg,https://t.co/N4kOHvgsgd,https://twitter.com/CryptoWatson/status/908629055238492165/photo/1,photo,http://pbs.twimg.com/media/DJwZTyCWsAEzh8j.jpg,https://t.co/N4kOHvgsgd,https://twitter.com/CryptoWatson/status/908629055238492165/photo/1,in,|,|,|||||||,2017-09-15T09:50:22Z
908616528358182912,898537668115546112,CryptoWatson,"1hr Report : 05:00:35 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $NEO, $ETC, $QTUM, $OMG, $XVG, $PTOY, $BTS https://t.co/wd4yQd5MBF",Crypto Watson (Beta),FALSE,FALSE,1,1,BTC|ETH|LTC|NEO|ETC|QTUM|OMG|XVG|PTOY|BTS,http://pbs.twimg.com/media/DJwN6oeXUAAP_jm.jpg,https://t.co/wd4yQd5MBF,https://twitter.com/CryptoWatson/status/908616528358182912/photo/1,photo,http://pbs.twimg.com/media/DJwN6oeXUAAP_jm.jpg,https://t.co/wd4yQd5MBF,https://twitter.com/CryptoWatson/status/908616528358182912/photo/1,en,|,|,|||||||,2017-09-15T09:00:36Z
